Lambda,n,k,eps_real,eps_imag
292.4,1.3900037515,1.1610040608,0.58418,3.2276
300.9,1.3399954787,0.9639957899,0.8663,2.5835
310.7,1.1300060736,0.6160143881,0.89744,1.3922
320.4,0.8100020006,0.3919990318,0.50244,0.63504
331.5,0.1700001187,0.8289994212,-0.65834,0.28186
342.5,0.1399980964,1.1420155283,-1.2846,0.31976
354.2,0.0999990364,1.4190136741,-2.0036,0.2838
367.9,0.0700006235,1.6569852405,-2.7407,0.23198
381.5,0.0499999712,1.8640010722,-3.472,0.1864
397.4,0.05,2.07,-4.2824,0.207
413.3,0.0500001207,2.2749945081,-5.1731,0.2275
430.5,0.0400001451,2.4619910665,-6.0598,0.19696
450.9,0.0400001388,2.6569907811,-7.058,0.21256
471.4,0.0499998816,2.8690067947,-8.2287,0.2869
495.9,0.050000128,3.0929920809,-9.5641,0.3093
520.9,0.0500010768,3.3239284149,-11.046,0.3324
548.6,0.0599995242,3.5860284359,-12.856,0.43032
582.1,0.0499994357,3.8580435383,-14.882,0.3858
616.8,0.059999137,4.1520597174,-17.236,0.49824
659.5,0.0499997376,4.4830235304,-20.095,0.4483
704.5,0.0399996958,4.8380367894,-23.405,0.38704
