Lambda,n,k,eps_real,eps_imag
206.6,1.125,1.27,-0.347275,2.8575
213.8,1.173,1.29,-0.288171,3.02634
221.4,1.208,1.3,-0.230736,3.1408
229.6,1.238,1.31,-0.183456,3.24356
238.4,1.265,1.33,-0.168675,3.3649
248,1.298,1.35,-0.137696,3.5046
253,1.32,1.35,-0.0801,3.564
258.3,1.343,1.35,-0.018851,3.6261
263.8,1.372,1.35,0.059884,3.7044
269.5,1.404,1.33,0.202316,3.73464
275.5,1.441,1.31,0.360381,3.77542
281.8,1.476,1.26,0.590976,3.71952
288.3,1.502,1.19,0.839904,3.57476
295.2,1.519,1.08,1.140961,3.28104
298.8,1.522,0.992,1.33242,3.019648
302.4,1.496,0.882,1.460092,2.638944
306.1,1.432,0.766,1.463868,2.193824
310,1.323,0.647,1.33172,1.711962
311.5,1.246,0.586,1.20912,1.460312
313.9,1.149,0.54,1.028601,1.24092
315.5,1.044,0.514,0.82574,1.073232
317.9,0.932,0.504,0.614608,0.939456
319.5,0.815,0.526,0.387549,0.85738
322,0.708,0.565,0.182039,0.80004
323.7,0.616,0.609,0.008575,0.750288
326.3,0.526,0.663,-0.162893,0.697476
330.6,0.371,0.813,-0.523328,0.603246
332.4,0.321,0.902,-0.710563,0.579084
335.1,0.294,0.986,-0.88576,0.579768
339.7,0.259,1.12,-1.187319,0.58016
344.4,0.238,1.24,-1.480956,0.59024
354.2,0.209,1.44,-2.029919,0.60192
364.7,0.186,1.61,-2.557504,0.59892
375.7,0.2,1.67,-2.7489,0.668
387.5,0.192,1.81,-3.239236,0.69504
400,0.173,1.95,-3.772571,0.6747
413.3,0.173,2.11,-4.422171,0.73006
427.5,0.16,2.26,-5.082,0.7232
442.8,0.157,2.4,-5.735351,0.7536
459.2,0.144,2.56,-6.532864,0.73728
476.9,0.132,2.72,-7.380976,0.71808
495.9,0.13,2.88,-8.2775,0.7488
516.6,0.13,3.07,-9.408,0.7982
539.1,0.129,3.25,-10.545859,0.8385
563.6,0.12,3.45,-11.8881,0.828
590.4,0.121,3.66,-13.380959,0.88572
619.6,0.131,3.88,-15.037239,1.01656
652.6,0.14,4.15,-17.2029,1.162
688.8,0.14,4.44,-19.694,1.2432
729.3,0.148,1.74,-3.005696,0.51504
774.9,0.143,5.09,-25.887651,1.45574
826.6,0.145,5.5,-30.228975,1.595
885.6,0.163,5.95,-35.375931,1.9397
953.7,0.198,6.43,-41.305696,2.54628
1033,0.226,6.99,-48.809024,3.15948
1127,0.251,7.67,-58.765899,3.85034
1240,0.329,8.49,-71.971859,5.58642
